顧客ID,購入額,購入頻度,購入取引数,支払額,最低支払額,一括購入額,一括購入の頻度,分割購入額,分割購入の頻度,カードキャッシング金額,カードキャッシングの頻度,カードキャッシング取引数,クレジット限度額
C12004,45.65,0.083333,1,351.864266,5104.500905,45.65,0.083333,0.0,0.0,0.0,0.0,0,1500.0
C12005,280.24,0.125,2,6684.559773,77.662523,280.24,0.125,0.0,0.0,1295.246094,0.25,2,11000.0
C12006,7194.53,1.0,69,12487.36815,2074.900111,6678.26,1.0,516.27,1.0,14200.89313,0.833333,37,15500.0
C12007,1885.94,0.916667,29,1625.320799,1608.307521,75.0,0.083333,1810.94,0.916667,2099.802521,0.416667,6,8500.0
C12008,918.67,0.583333,22,258.034145,376.716571,918.67,0.583333,0.0,0.0,0.0,0.0,0,1800.0
C12009,702.4,1.0,28,1184.723606,245.887258,265.6,0.25,436.8,1.0,0.0,0.0,0,7500.0
C12010,125.0,0.833333,10,125.140043,82.820029,0.0,0.0,125.0,0.75,0.0,0.0,0,3000.0
C12011,1455.97,0.916667,39,1380.904206,156.994712,412.69,0.333333,1043.28,0.833333,0.0,0.0,0,1800.0
C12012,518.17,1.0,35,1049.378278,1100.812257,71.9,0.166667,446.27,1.0,1257.241177,0.333333,12,4000.0
C12013,0.0,0.0,0,674.881553,1362.230185,0.0,0.0,0.0,0.0,2461.891684,0.583333,19,4000.0
C12014,0.0,0.0,0,5126.650633,654.751791,0.0,0.0,0.0,0.0,1552.832951,0.25,6,3666.666667
C12015,217.9,1.0,25,832.687649,764.627545,118.9,0.083333,99.0,1.0,0.0,0.0,0,7500.0
C12016,5189.51,1.0,102,5851.06442,492.87619,3609.24,1.0,1580.27,0.833333,0.0,0.0,0,7500.0
C12017,2090.47,0.5,21,1718.461993,1495.799354,1965.41,0.5,125.06,0.416667,1153.665768,0.25,3,15000.0
C12018,15.4,0.083333,1,255.103798,198.933162,15.4,0.083333,0.0,0.0,182.66132,0.333333,6,200.0
C12019,662.4,1.0,23,367.258695,134.119873,108.71,0.222222,553.69,0.888889,0.0,0.0,0,1000.0
C12020,711.72,1.0,23,1303.904127,1834.59712,617.4,0.916667,94.32,1.0,6498.711722,0.416667,12,8500.0
C12021,102.48,0.583333,28,561.592591,1691.887852,0.0,0.0,102.48,0.583333,0.0,0.0,0,3000.0
C12022,2173.99,0.666667,33,1828.965006,1313.883915,1556.19,0.583333,617.8,0.5,0.0,0.0,0,8500.0
C12023,286.19,0.416667,7,911.371697,179.244755,58.0,0.083333,228.19,0.416667,0.0,0.0,0,1700.0
C12024,9683.28,0.75,15,6084.947427,722.986478,7253.28,0.5,2430.0,0.25,0.0,0.0,0,12500.0
C12025,32.0,0.083333,1,2266.903508,385.237167,32.0,0.083333,0.0,0.0,1859.42106,0.666667,23,9000.0
C12026,360.0,1.0,9,2312.470872,288.48652,0.0,0.0,360.0,0.888889,3180.893742,0.222222,4,5000.0
C12027,486.01,0.833333,13,544.044265,164.607409,486.01,0.833333,0.0,0.0,0.0,0.0,0,7000.0
C12028,0.0,0.0,0,276.73092,283.18296,0.0,0.0,0.0,0.0,18.482296,0.083333,1,1200.0
C12029,0.0,0.0,0,1117.714796,459.782873,0.0,0.0,0.0,0.0,381.541722,0.166667,2,2100.0
C12030,243.48,1.0,12,152.754759,157.90404,0.0,0.0,243.48,1.0,0.0,0.0,0,1500.0
C12031,2083.25,0.75,22,641.03397,1268.590924,0.0,0.0,2083.25,0.666667,0.0,0.0,0,6000.0
C12032,17.8,0.083333,1,9858.055448,737.68264,17.8,0.083333,0.0,0.0,2429.819782,0.25,3,2500.0
C12033,266.25,0.454545,5,338.565785,85.843124,0.0,0.0,266.25,0.454545,0.0,0.0,0,7500.0
C12034,0.0,0.0,0,2986.36061,487.912459,0.0,0.0,0.0,0.0,4444.646515,0.375,8,2500.0
C12035,1695.0,0.333333,10,2194.901135,2095.016662,0.0,0.0,1695.0,0.25,90.775238,0.083333,1,2000.0
C12036,1103.86,1.0,34,667.73252,537.415298,253.99,0.25,849.87,1.0,0.0,0.0,0,6500.0
C12037,0.0,0.0,0,555.202392,693.582286,0.0,0.0,0.0,0.0,3853.339512,0.25,10,4000.0
C12038,922.64,1.0,16,912.762084,168.173968,876.3,1.0,46.34,0.083333,0.0,0.0,0,9500.0
C12039,333.08,0.416667,7,1113.279765,1634.9904,333.08,0.416667,0.0,0.0,72.049232,0.083333,1,12500.0
C12040,363.52,0.833333,11,383.100848,175.869439,124.51,0.166667,239.01,0.666667,0.0,0.0,0,9100.0
C12041,96.12,0.833333,10,102.848649,0.019163,0.0,0.0,96.12,0.833333,0.0,0.0,0,1500.0
C12042,2437.8,1.0,30,2204.789548,186.937922,1788.3,1.0,649.5,0.5,0.0,0.0,0,7500.0
C12043,55.0,0.083333,1,579.527874,1323.695647,55.0,0.083333,0.0,0.0,315.402389,0.25,3,3000.0
C12044,1500.0,0.083333,1,675.426241,672.964531,1500.0,0.083333,0.0,0.0,0.0,0.0,0,3000.0
C12045,921.18,0.25,9,892.146005,69.378949,469.78,0.166667,451.4,0.166667,0.0,0.0,0,4500.0
C12046,1370.21,1.0,18,19143.03225,2618.798545,937.65,1.0,432.56,0.416667,8527.393281,0.5,10,12000.0
C12047,0.0,0.0,0,1462.710828,748.95592,0.0,0.0,0.0,0.0,707.984403,0.333333,5,10000.0
C12048,987.23,1.0,17,1081.54001,179.8235,0.0,0.0,987.23,1.0,0.0,0.0,0,2500.0
C12049,3724.25,1.0,39,6486.900601,173.296445,3301.53,0.833333,422.72,1.0,72.477223,0.083333,1,4000.0
C12050,0.0,0.0,0,510.126277,558.162379,0.0,0.0,0.0,0.0,1546.052817,0.083333,2,3500.0
C12051,0.0,0.0,0,10720.57047,3284.528716,0.0,0.0,0.0,0.0,8419.83327,0.25,15,9000.0
C12052,420.89,1.0,13,616.193938,8289.636536,45.65,0.083333,375.24,1.0,0.0,0.0,0,1000.0
C12053,674.57,0.75,11,830.768021,1017.533824,674.57,0.75,0.0,0.0,0.0,0.0,0,1600.0
C12054,15704.04,1.0,185,14399.70318,310.712671,12618.86,0.916667,3085.18,0.916667,0.0,0.0,0,3000.0
C12055,98.0,0.083333,1,554.101761,556.407341,98.0,0.083333,0.0,0.0,240.304769,0.166667,4,1800.0
C12056,963.21,1.0,11,622.542212,1252.200387,963.21,1.0,0.0,0.0,0.0,0.0,0,2100.0
C12057,161.5,0.166667,3,2333.389981,475.983876,161.5,0.166667,0.0,0.0,765.748489,0.166667,5,3700.0
C12058,37.65,0.083333,1,88.090034,56.690917,37.65,0.083333,0.0,0.0,0.0,0.0,0,7500.0
C12059,1014.21,0.777778,20,938.36331,127.327376,264.42,0.444444,749.79,0.666667,268.071098,0.111111,1,1500.0
C12060,1823.5,1.0,23,792.597997,1003.87006,1686.0,0.75,137.5,0.75,236.898897,0.166667,2,7100.0
C12061,0.0,0.0,0,404.150829,740.836747,0.0,0.0,0.0,0.0,152.14064,0.25,4,1600.0
C12062,293.5,0.666667,11,215.258602,138.420441,49.0,0.083333,244.5,0.583333,0.0,0.0,0,1500.0
C12063,0.0,0.0,0,7705.86499,166.965184,0.0,0.0,0.0,0.0,3623.583341,0.083333,2,18000.0
C12064,0.0,0.0,0,2335.88734,2531.968747,0.0,0.0,0.0,0.0,2286.927789,0.166667,4,10000.0
C12065,0.0,0.0,0,542.414342,569.427263,0.0,0.0,0.0,0.0,156.097738,0.083333,1,1950.0
C12066,0.0,0.0,0,1910.836769,3385.385063,0.0,0.0,0.0,0.0,4713.978717,0.583333,14,11000.0
C12067,1003.95,0.583333,15,2218.323066,454.602396,408.83,0.166667,595.12,0.5,0.0,0.0,0,11000.0
C12068,1115.0,0.083333,1,268.295902,289.110551,1115.0,0.083333,0.0,0.0,0.0,0.0,0,1800.0
C12069,32.35,0.083333,1,1262.608728,1163.798856,32.35,0.083333,0.0,0.0,0.0,0.0,0,14000.0
C12070,704.4,1.0,21,810.831681,747.131941,0.0,0.0,704.4,0.916667,61.069589,0.083333,1,1200.0
C12071,0.0,0.0,0,390.289118,935.43069,0.0,0.0,0.0,0.0,3854.441191,0.285714,6,4200.0
C12072,1234.5,0.583333,14,206.102367,382.086744,653.0,0.333333,581.5,0.416667,0.0,0.0,0,3000.0
C12073,463.01,0.416667,11,254.635576,375.38376,373.65,0.25,89.36,0.25,546.682275,0.166667,4,1000.0
C12074,581.8,0.25,3,2088.919798,238.591204,520.0,0.083333,61.8,0.166667,0.0,0.0,0,8500.0
C12075,1159.15,1.0,28,5978.807577,583.437092,119.0,0.083333,1040.15,1.0,0.0,0.0,0,4750.0
C12076,485.6,0.333333,7,478.461522,825.271126,303.6,0.083333,182.0,0.25,0.0,0.0,0,4500.0
C12077,0.0,0.0,0,7823.096006,452.041254,0.0,0.0,0.0,0.0,3618.304773,0.25,4,8000.0
C12078,9321.13,1.0,171,7303.897866,1395.715133,4678.79,1.0,4642.34,1.0,0.0,0.0,0,15000.0
C12079,1907.96,1.0,36,2766.13064,391.624583,803.17,0.583333,1104.79,1.0,727.608789,0.333333,5,10000.0
C12080,246.75,0.416667,5,7103.026842,151.26551,246.75,0.416667,0.0,0.0,0.0,0.0,0,11000.0
C12081,1875.54,1.0,52,772.320791,632.994269,546.14,0.333333,1329.4,1.0,598.035427,0.333333,5,3900.0
C12082,0.0,0.0,0,519.343097,607.30396,0.0,0.0,0.0,0.0,2504.271338,0.25,3,7000.0
C12083,320.8,0.833333,10,2036.371171,2529.594963,0.0,0.0,320.8,0.75,9733.258025,1.0,38,10000.0
C12084,245.0,0.666667,10,1660.561025,344.810116,0.0,0.0,245.0,0.583333,0.0,0.0,0,1500.0
C12085,689.4,1.0,12,328.171066,328.045032,689.4,1.0,0.0,0.0,0.0,0.0,0,3500.0
C12086,1658.81,1.0,49,3051.991292,3497.894585,45.65,0.083333,1613.16,1.0,804.558218,0.083333,4,1000.0
C12087,6562.24,1.0,114,6240.58958,219.062841,4892.43,1.0,1669.81,1.0,0.0,0.0,0,8000.0
C12088,9362.96,1.0,103,7079.1781,645.403234,5098.75,0.916667,4264.21,1.0,0.0,0.0,0,7500.0
C12089,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,11000.0
C12090,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,7500.0
C12091,1497.02,0.75,14,475.066734,848.769861,1497.02,0.75,0.0,0.0,1112.647386,0.25,5,4000.0
C12092,3721.39,0.5,26,4004.905569,156.580586,3721.39,0.5,0.0,0.0,0.0,0.0,0,4000.0
C12093,403.3,0.666667,14,1318.460544,129.682608,303.1,0.416667,100.2,0.333333,0.0,0.0,0,7500.0
C12094,1029.94,1.0,18,2221.896121,227.64056,0.0,0.0,1029.94,1.0,0.0,0.0,0,2000.0
C12095,720.48,0.833333,15,2473.619496,462.38019,0.0,0.0,720.48,0.75,1143.146657,0.083333,2,2300.0
C12096,807.66,0.916667,11,699.466354,167.403184,325.0,0.166667,482.66,0.666667,0.0,0.0,0,16000.0
C12097,1207.24,0.166667,18,3130.304246,2767.052658,979.36,0.166667,227.88,0.083333,3064.470065,0.916667,20,7000.0
C12098,0.0,0.0,0,593.781355,242.578058,0.0,0.0,0.0,0.0,468.62986,0.25,6,1500.0
C12099,0.0,0.0,0,1431.650735,1496.831824,0.0,0.0,0.0,0.0,848.032831,0.083333,1,4500.0
C12100,299.83,1.0,21,559.708549,523.962466,117.39,0.166667,182.44,0.916667,113.720261,0.166667,2,1800.0
C12101,0.0,0.0,0,1400.282454,4486.832622,0.0,0.0,0.0,0.0,1648.096839,0.083333,8,7500.0
C12102,86.1,0.125,1,447.991795,1309.847772,86.1,0.125,0.0,0.0,4106.834043,0.25,13,4500.0
C12103,2527.04,1.0,92,1461.368469,1105.554363,796.66,0.333333,1730.38,1.0,2056.332882,0.333333,6,5000.0
C12104,150.0,0.416667,5,360.303696,410.225607,0.0,0.0,150.0,0.333333,0.0,0.0,0,1200.0
C12105,469.92,1.0,12,716.423692,871.852779,0.0,0.0,469.92,1.0,0.0,0.0,0,1000.0
C12107,69.0,0.083333,1,1483.636625,469.230578,69.0,0.083333,0.0,0.0,1147.361897,0.333333,16,1200.0
C12108,2.0,0.083333,1,4678.254753,464.860442,2.0,0.083333,0.0,0.0,5246.296449,0.25,6,2500.0
C12109,529.0,0.166667,5,914.280246,932.394545,529.0,0.166667,0.0,0.0,3082.913762,0.416667,7,6000.0
C12110,5848.99,1.0,119,9006.196318,4513.48893,2604.0,0.583333,3244.99,1.0,3503.547107,0.166667,6,5000.0
C12111,1937.7,1.0,30,2100.802868,169.00964,1937.7,1.0,0.0,0.0,0.0,0.0,0,2000.0
C12112,158.2,0.3,3,756.247099,1379.468717,0.0,0.0,158.2,0.2,5391.599959,0.4,9,6000.0
C12113,0.0,0.0,0,308.886492,468.194223,0.0,0.0,0.0,0.0,92.841595,0.083333,1,1500.0
C12114,0.0,0.0,0,5709.181577,1535.930262,0.0,0.0,0.0,0.0,200.125461,0.416667,5,4500.0
C12115,5930.99,1.0,168,12493.77894,1780.353532,3862.79,0.916667,2068.2,1.0,0.0,0.0,0,11500.0
C12116,92.46,0.5,6,127.082375,93.717243,0.0,0.0,92.46,0.416667,0.0,0.0,0,300.0
C12117,324.18,0.333333,6,950.735955,867.128283,293.0,0.166667,31.18,0.25,0.0,0.0,0,9500.0
C12118,5747.76,1.0,81,4901.164291,788.689176,4021.77,0.583333,1725.99,1.0,0.0,0.0,0,8000.0
C12119,4342.07,0.833333,20,3903.861413,806.9871,4247.87,0.666667,94.2,0.166667,0.0,0.0,0,11000.0
C12120,0.0,0.0,0,384.809455,912.399567,0.0,0.0,0.0,0.0,2768.870906,0.083333,2,3000.0
C12121,329.9,0.333333,6,905.863527,271.464874,257.0,0.166667,72.9,0.166667,0.0,0.0,0,1800.0
C12122,90.01,0.166667,3,943.446254,1064.27255,90.01,0.166667,0.0,0.0,1804.826917,0.25,3,8000.0
C12124,3805.44,1.0,24,3818.15076,941.610478,2715.52,0.416667,1089.92,1.0,0.0,0.0,0,1500.0
C12125,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,292.924759,0.142857,1,1200.0
C12127,0.0,0.0,0,2489.260383,69.124834,0.0,0.0,0.0,0.0,1936.205406,0.166667,4,3000.0
C12128,0.0,0.0,0,266.472386,708.09871,0.0,0.0,0.0,0.0,4946.958466,0.428571,8,10000.0
C12129,19.98,0.083333,2,593.220384,1159.310924,19.98,0.083333,0.0,0.0,0.0,0.0,0,5500.0
C12130,205.89,0.25,3,501.655195,490.885882,205.89,0.25,0.0,0.0,0.0,0.0,0,1600.0
C12131,44.7,0.285714,2,7821.035049,422.308422,0.0,0.0,44.7,0.142857,4765.916305,0.428571,4,9000.0
C12132,98.08,0.166667,3,523.235492,535.880979,68.42,0.166667,29.66,0.083333,0.0,0.0,0,1500.0
C12133,1567.25,1.0,232,1541.979811,190.253479,60.2,0.083333,1507.05,1.0,0.0,0.0,0,7000.0
C12134,4240.41,0.333333,4,6360.427012,127.311184,4240.41,0.333333,0.0,0.0,0.0,0.0,0,6000.0
C12135,698.91,1.0,38,684.699102,178.065401,75.0,0.083333,623.91,1.0,79.010038,0.083333,1,5000.0
C12136,0.0,0.0,0,1252.775151,1572.30984,0.0,0.0,0.0,0.0,3481.529635,0.916667,26,6500.0
C12137,4537.12,1.0,56,2689.043472,350.182281,4285.11,0.75,252.01,0.833333,0.0,0.0,0,2500.0
C12138,247.31,0.583333,7,1016.490545,1014.858941,0.0,0.0,247.31,0.5,823.112588,0.416667,6,4000.0
C12139,55.5,0.166667,2,318.843744,126.009475,0.0,0.0,55.5,0.166667,0.0,0.0,0,1200.0
C12140,4574.79,1.0,46,5097.91073,366.740483,4149.47,0.583333,425.32,0.833333,2604.900847,0.166667,4,9500.0
C12141,0.01,0.090909,1,4022.440372,520.255336,0.01,0.090909,0.0,0.0,5567.596649,0.272727,12,3000.0
C12142,355.16,1.0,12,357.776573,170.557326,0.0,0.0,355.16,0.916667,0.0,0.0,0,2500.0
C12143,5132.08,1.0,66,11454.46623,910.850489,4664.84,1.0,467.24,0.583333,0.0,0.0,0,10000.0
C12144,712.87,0.083333,1,801.18565,364.139587,712.87,0.083333,0.0,0.0,0.0,0.0,0,4500.0
C12145,972.09,1.0,26,2025.270282,2959.401317,43.0,0.083333,929.09,1.0,2590.575082,0.416667,8,10500.0
C12146,673.15,0.833333,14,1907.16983,2144.047631,574.28,0.25,98.87,0.75,6076.961711,0.5,8,12000.0
C12147,2238.0,0.75,22,1985.047114,464.932133,1170.0,0.583333,1068.0,0.416667,0.0,0.0,0,6500.0
C12148,3111.44,1.0,50,1648.50704,685.226291,1671.09,0.5,1440.35,1.0,0.0,0.0,0,6000.0
C12149,0.0,0.0,0,932.601452,167.149574,0.0,0.0,0.0,0.0,1166.982711,0.333333,5,7500.0
C12150,3150.0,1.0,14,2694.972436,431.443631,2430.0,0.083333,720.0,1.0,0.0,0.0,0,2500.0
C12151,57.0,0.25,3,295.373115,320.830162,0.0,0.0,57.0,0.166667,0.0,0.0,0,1200.0
C12152,560.98,1.0,20,1039.000037,886.050237,427.22,0.727273,133.76,0.363636,2008.153534,0.545455,9,10100.0
C12153,1138.85,0.416667,5,3763.240294,1818.174017,0.0,0.0,1138.85,0.333333,4044.377495,0.25,6,4500.0
C12154,4029.24,1.0,102,2343.311066,2351.640064,2926.43,1.0,1102.81,1.0,0.0,0.0,0,12500.0
C12155,0.0,0.0,0,805.79629,262.804339,0.0,0.0,0.0,0.0,1820.493358,0.416667,5,6500.0
C12156,465.36,0.25,4,1772.157134,2302.03915,465.36,0.25,0.0,0.0,1609.506076,0.083333,3,12000.0
C12157,0.0,0.0,0,2456.797947,85.271802,0.0,0.0,0.0,0.0,1434.138511,0.142857,1,1500.0
C12158,4911.41,0.75,63,10079.38741,2045.063933,4005.81,0.75,905.6,0.25,10629.80756,0.416667,14,6000.0
C12159,180.0,1.0,12,330.620032,539.543528,0.0,0.0,180.0,1.0,0.0,0.0,0,1000.0
C12160,1348.08,1.0,50,1196.209266,183.557875,230.43,0.583333,1117.65,1.0,0.0,0.0,0,12000.0
C12161,4767.11,1.0,95,3774.693285,955.03756,2024.6,0.25,2742.51,1.0,3621.840163,0.25,9,6000.0
C12162,0.0,0.0,0,684.398658,152.648955,0.0,0.0,0.0,0.0,470.00055,0.3,3,9500.0
C12163,0.0,0.0,0,80.190719,199.745472,0.0,0.0,0.0,0.0,1176.86169,0.333333,4,1200.0
C12164,143.12,0.1,1,289.967312,286.845297,143.12,0.1,0.0,0.0,0.0,0.0,0,1200.0
C12165,266.71,0.416667,5,477.592124,184.739137,0.0,0.0,266.71,0.416667,0.0,0.0,0,2000.0
C12166,0.0,0.0,0,1083.406473,673.452218,0.0,0.0,0.0,0.0,954.822692,0.166667,3,6000.0
C12167,0.0,0.0,0,20500.17323,799.436291,0.0,0.0,0.0,0.0,15081.6956,0.416667,16,11500.0
C12168,717.92,0.5,10,628.811269,92.899006,122.86,0.166667,595.06,0.416667,0.0,0.0,0,13000.0
C12169,652.13,0.5,10,385.145146,275.434078,567.76,0.416667,84.37,0.083333,0.0,0.0,0,6000.0
C12170,72.84,0.083333,1,467.674193,216.289689,72.84,0.083333,0.0,0.0,0.0,0.0,0,3000.0
C12171,0.0,0.0,0,622.529592,622.651831,0.0,0.0,0.0,0.0,354.346012,0.25,3,3000.0
C12172,0.0,0.0,0,1339.9697,880.459505,0.0,0.0,0.0,0.0,3190.532048,0.25,3,8500.0
C12173,852.26,1.0,20,643.541055,181.197901,265.92,1.0,586.34,0.25,0.0,0.0,0,18500.0
C12174,0.0,0.0,0,714.012374,659.746433,0.0,0.0,0.0,0.0,369.256964,0.666667,9,1800.0
C12175,2310.21,1.0,67,1871.658725,173.610118,1660.51,1.0,649.7,0.916667,0.0,0.0,0,3000.0
C12176,888.85,1.0,27,1134.356357,185.277576,278.63,0.166667,610.22,1.0,0.0,0.0,0,3500.0
C12177,0.0,0.0,0,634.788341,808.539833,0.0,0.0,0.0,0.0,211.099323,0.333333,4,2100.0
C12178,1827.62,0.833333,34,1731.206869,253.774892,1408.82,0.5,418.8,0.666667,0.0,0.0,0,1200.0
C12179,796.11,0.083333,1,807.665219,1559.810579,796.11,0.083333,0.0,0.0,0.0,0.0,0,6000.0
C12180,2461.9,0.166667,13,1041.825559,1143.939064,2461.9,0.166667,0.0,0.0,202.816167,0.166667,2,5000.0
C12181,2055.13,1.0,74,1631.166246,217.082846,302.05,0.916667,1753.08,1.0,0.0,0.0,0,7500.0
C12182,1122.17,1.0,29,1138.136359,162.528519,802.77,1.0,319.4,0.333333,0.0,0.0,0,6000.0
C12183,0.0,0.0,0,338.019603,418.236345,0.0,0.0,0.0,0.0,960.917825,0.111111,1,1800.0
C12184,0.0,0.0,0,1009.40361,280.243063,0.0,0.0,0.0,0.0,1378.856373,0.083333,2,4500.0
C12185,0.0,0.0,0,385.290048,473.106541,0.0,0.0,0.0,0.0,2397.676198,0.416667,10,3000.0
C12186,0.0,0.0,0,1127.493221,1005.215148,0.0,0.0,0.0,0.0,4328.32727,0.333333,4,6500.0
C12187,0.0,0.0,0,1656.765938,364.18588,0.0,0.0,0.0,0.0,1454.884966,0.083333,3,1500.0
C12188,568.3,0.833333,10,902.082618,411.544387,0.0,0.0,568.3,0.75,0.0,0.0,0,3000.0
C12189,94.7,0.166667,2,350.850434,284.605261,94.7,0.166667,0.0,0.0,187.817003,0.416667,5,1200.0
C12190,875.05,1.0,29,1261.11301,1209.124265,509.9,0.5,365.15,1.0,0.0,0.0,0,2600.0
C12191,2252.77,1.0,30,2018.393951,178.930636,238.0,0.333333,2014.77,1.0,0.0,0.0,0,10000.0
C12192,477.5,0.583333,17,591.867645,157.374987,193.5,0.166667,284.0,0.333333,0.0,0.0,0,3000.0
C12194,1060.99,0.166667,4,1162.790308,208.55975,1040.99,0.083333,20.0,0.083333,0.0,0.0,0,1300.0
C12195,739.98,0.5,6,1167.353193,172.959558,0.0,0.0,739.98,0.416667,0.0,0.0,0,9500.0
C12196,3866.29,1.0,95,3688.890803,190.88614,808.12,1.0,3058.17,1.0,0.0,0.0,0,7500.0
C12197,83.0,0.333333,4,568.336744,606.89303,38.0,0.083333,45.0,0.166667,481.39493,0.166667,5,2500.0
C12198,0.0,0.0,0,2955.428583,2793.752245,0.0,0.0,0.0,0.0,3217.327939,0.666667,12,7500.0
C12199,3157.86,1.0,31,3291.320691,170.010384,1178.02,0.916667,1979.84,1.0,0.0,0.0,0,7000.0
C12200,60.0,0.083333,1,111.559902,208.976648,60.0,0.083333,0.0,0.0,0.0,0.0,0,2300.0
C12201,84.0,1.0,12,91.67226,165.656889,0.0,0.0,84.0,1.0,0.0,0.0,0,1000.0
C12202,279.0,0.333333,4,426.263702,211.761556,0.0,0.0,279.0,0.25,0.0,0.0,0,1400.0
C12203,1664.95,1.0,55,1458.490552,188.635203,64.17,0.166667,1600.78,1.0,0.0,0.0,0,4000.0
C12204,344.86,0.25,4,1499.598264,185.217625,344.86,0.25,0.0,0.0,0.0,0.0,0,8500.0
C12205,1849.26,1.0,19,1522.895942,414.775083,1616.76,1.0,232.5,0.5,0.0,0.0,0,7000.0
C12206,0.0,0.0,0,685.053764,919.457678,0.0,0.0,0.0,0.0,139.395627,0.083333,1,3000.0
C12207,1674.11,1.0,43,1166.117797,954.24196,649.0,0.333333,1025.11,1.0,0.0,0.0,0,11500.0
C12208,2569.94,0.363636,8,3362.877104,164.400313,2569.94,0.363636,0.0,0.0,186.415123,0.090909,1,5000.0
C12209,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,9000.0
C12210,6814.47,1.0,15,1917.817732,1643.130029,6814.47,1.0,0.0,0.0,0.0,0.0,0,13000.0
C12211,843.03,0.583333,7,1312.375596,179.548143,0.0,0.0,843.03,0.583333,0.0,0.0,0,2200.0
C12212,78.47,0.5,7,3799.466293,499.536689,0.0,0.0,78.47,0.416667,332.13781,0.083333,2,8500.0
C12213,4019.28,0.833333,19,3728.70891,276.007263,4019.28,0.833333,0.0,0.0,0.0,0.0,0,4500.0
C12214,542.96,0.833333,13,195.490243,229.465974,452.96,0.416667,90.0,0.416667,268.410928,0.166667,4,2500.0
C12215,0.0,0.0,0,2804.403394,853.680867,0.0,0.0,0.0,0.0,3923.427657,0.25,4,3000.0
C12216,0.0,0.0,0,568.212802,308.89183,0.0,0.0,0.0,0.0,914.794214,0.083333,1,6500.0
C12217,435.08,0.916667,15,3796.014359,180.308803,435.08,0.916667,0.0,0.0,0.0,0.0,0,7500.0
C12218,197.0,0.5,6,224.836018,89.18596,0.0,0.0,197.0,0.416667,0.0,0.0,0,1000.0
C12219,2514.74,1.0,53,964.935365,1676.595311,1597.67,1.0,917.07,0.833333,3444.750251,0.333333,11,5500.0
C12220,714.68,1.0,14,1649.118645,2967.748073,402.68,0.083333,312.0,1.0,726.955255,0.083333,2,5000.0
C12221,802.1,0.916667,21,710.240283,171.20871,802.1,0.916667,0.0,0.0,0.0,0.0,0,13000.0
C12222,0.0,0.0,0,715.12033,1220.49839,0.0,0.0,0.0,0.0,1673.75234,0.083333,1,4500.0
C12223,0.0,0.0,0,944.591497,1249.695933,0.0,0.0,0.0,0.0,257.147835,0.25,6,3000.0
C12224,2635.9,1.0,54,951.372467,293.129375,2116.92,0.75,518.98,0.75,0.0,0.0,0,4500.0
C12225,1699.87,1.0,31,2096.121508,306.046439,1262.04,0.666667,437.83,0.75,0.0,0.0,0,1800.0
C12226,431.93,0.583333,21,39048.59762,5394.173671,133.5,0.25,298.43,0.5,47137.21176,1.0,123,19600.0
C12227,780.0,0.166667,2,196.173726,14.037214,780.0,0.166667,0.0,0.0,0.0,0.0,0,3200.0
C12228,839.14,0.833333,16,362.337779,295.29696,419.88,0.333333,419.26,0.666667,0.0,0.0,0,6000.0
C12229,1850.23,1.0,18,1826.882329,176.632334,0.0,0.0,1850.23,0.916667,0.0,0.0,0,14000.0
C12230,50.0,0.083333,1,3389.03546,260.16707,50.0,0.083333,0.0,0.0,457.650652,0.25,5,3500.0
C12231,1967.86,1.0,140,1413.122627,387.054045,558.69,0.5,1409.17,1.0,0.0,0.0,0,11500.0
C12232,1313.26,1.0,28,1129.248446,429.760387,0.0,0.0,1313.26,1.0,0.0,0.0,0,11500.0
C12233,0.0,0.0,0,574.233323,788.721609,0.0,0.0,0.0,0.0,253.554601,0.583333,8,1800.0
C12234,0.0,0.0,0,846.397004,687.079273,0.0,0.0,0.0,0.0,382.272435,0.166667,2,5000.0
C12235,504.0,1.0,20,818.64282,81.765863,0.0,0.0,504.0,0.916667,0.0,0.0,0,2500.0
C12236,493.5,0.25,3,3308.04995,3396.356156,493.5,0.25,0.0,0.0,0.0,0.0,0,4000.0
C12237,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,16000.0
C12238,0.0,0.0,0,3263.474102,461.041625,0.0,0.0,0.0,0.0,3700.154118,0.454545,25,1600.0
C12239,1907.2,0.833333,10,2111.91778,170.572744,0.0,0.0,1907.2,0.833333,0.0,0.0,0,9500.0
C12240,0.0,0.0,0,371.902953,421.748003,0.0,0.0,0.0,0.0,76.027194,0.083333,1,1200.0
C12241,0.0,0.0,0,138.855523,531.19984,0.0,0.0,0.0,0.0,3771.115165,0.625,15,5000.0
C12242,552.09,1.0,13,601.430928,188.896158,95.0,0.083333,457.09,0.833333,0.0,0.0,0,12000.0
C12243,284.13,0.916667,11,274.729879,4.390918,0.0,0.0,284.13,0.916667,0.0,0.0,0,4000.0
C12244,2402.64,1.0,48,2022.102581,182.612129,537.21,1.0,1865.43,1.0,0.0,0.0,0,8500.0
C12246,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,4000.0
